ID	OrganizationName	University/Institue/Hospital/Gov	School/College/Division	Department/Group/Program	Lab		OrganizationAbbreviation	OrganizationAddress	OrganizationCity	OrganizationAdmin1	OrganizationPostalCode	OrganizationCountry	OrganizationCoordinates	OrganizationPhone	OrganizationURL	OrganizationType	MemberOf	Email	TwitterHandle	TwitterHandle	GithubIdentifier	LinkedInURL	RecordUpdatedBy	RecordUpdatedEmail	RecordUpdatedDate	Original MemberOf	MemberOf with Org Name (sort with)		order
223	Department of Medicine	University of Pittsburgh	School of Medicine	Department of Medicine				1218 Scaife Hall, 3550 Terrace Street	Pittsburgh	Pennsylvania	15261	United States		+1 412 648 9636	https://dom.pitt.edu/	Department	University of Pittsburgh, School of Medicine	chairoff@pitt.edu	@Pittdeptofmed			https://www.linkedin.com/company/university-of-pittsburgh-department-of-medicine/about/				School of Medicine at University of Pittsburgh	University of Pittsburgh, School of Medicine, Department of Medicine	Kenneth J. Smith	84
94	Department of Medicine - Hepatology	Loyola University Chicago	Health Sciences Division	Department of Medicine - Hepatology				2160 South First Avenue, Division of Hepatology, Building 106 - Room 1540	Maywood	Illinois	60153	United States		+1 855 483 7362	https://ssom.luc.edu/medicine/divisionsspecialties/hepatology/	Department	Loyola University Chicago, Health Sciences Division									Loyola University Chicago	Loyola University Chicago, Health Sciences Division, Department of Medicine - Hepatology	Harel Dahari	85
39	Department of Microbiology and Immunology	Emory University		Department of Microbiology and Immunology				Rollins Research Center, Suite 300, 1510 Clifton Road	Atlanta	Georgia	30322	United States		+1 404 727 5950	http://www.microbiology.emory.edu/index.html	University	Emory University	jmboss@emory.edu								Emory University	Emory University, Department of Microbiology and Immunology		86
210	Department of Microbiology and Immunology	University of North Carolina at Chapel Hill	School of Medicine													Department	University of North Carolina at Chapel Hill, School of Medicine										University of North Carolina at Chapel Hill, School of Medicine, Department of Microbiology and Immunology		87
199	Department of Molecular Microbiology and Immunology	University of Missouri		Department of Molecular Microbiology and Immunology				1 Hospital Drive	Columbia	Missouri	65212	United States		+1 573 882 1566	https://medicine.missouri.edu/departments/molecular-microbiology-immunology	Department	University of Missouri									University of Missouri	University of Missouri, Department of Molecular Microbiology and Immunology		88
90	Department of Pathobiological Sciences	Louisiana State University	School of Veterinary Medicine	Department of Pathobiological Sciences				LSU School of Veterinary Medicine, Skip Bertman Drive,	Baton Rouge	Louisiana	70803	United States		+1 225 578 9684	https://www.lsu.edu/vetmed/pbs/index.php	Department	Louisiana State University, School of Veterinary Medicine									School of Veterinary Medicine at Louisiana State University	Louisiana State University, School of Veterinary Medicine, Department of Pathobiological Sciences	Rebecca Christofferson	89
60	Department of Population Medicine	Harvard University	Harvard Medical School	Department of Population Medicine				Landmark Center, 401 Park Drive, Suite 401 East	Boston	Massachusetts	02215	United States		+1 617 867 4987	https://www.populationmedicine.org/	Department	Harvard University, Harvard Medical School	DPMwebmaster@harvardpilgrim.org	@DeptPopMed			https://www.linkedin.com/company/harvard-pilgrim-health-care/				Harvard Medical School	Harvard University, Harvard Medical School, Department of Population Medicine	Rui Wang	90
202	Department of Sociology	University of Nebraska-Lincoln		Department of Sociology				711 Oldfather Hall	Lincoln	Nebraska	68588-0324	United States		+1 402 472 3631	https://soc.unl.edu/	Department	University of Nebraska-Lincoln	sociology@unl.edu	@unisoc							University of Nebraska - Lincoln	University of Nebraska-Lincoln, Department of Sociology	Kirk Dombrowski	91
18	Department of Statistics and Data Science	Carneigie Mellon University		Department of Statistics and Data Science				5000 Forbes Avenue	Pittsburgh	Pennsylvania	15213	United States		+1 412 268 2717	http://www.stat.cmu.edu/	Department	Carneigie Mellon University									Carnegie Mellon University	Carneigie Mellon University, Department of Statistics and Data Science		92
2	Department of Systems Science and Industrial Engineering	Binghamton University														Department	Binghamton University										Binghamton University, Department of Systems Science and Industrial Engineering		93
205	Departments of Biology and Mathematics & Statistics	University of New Mexico														Department	University of New Mexico										University of New Mexico, Departments of Biology and Mathematics & Statistics		94
200	Division of Biological Sciences	University of Missouri		Division of Biological Sciences				105 Tucker Hall	Columbia	Missouri	65211	United States			https://biology.missouri.edu/	Department	University of Missouri		@MizzouBiology							University of Missouri	University of Missouri, Division of Biological Sciences		95
136	Division of Biophysics, Biomedical Technology, and Computational Biosciences	U.S. Department of Health and Human Services	National Institutes of Health	National Institute of General Medical Sciences				National Institute of General Medical Sciences , National Institutes of Health, 45 Center Drive MSC 620	Bethesda	Maryland	20892	United States			https://www.nigms.nih.gov/research-areas/areas-of-research/biophysics-biomedical-technology-and-computational-biosciences	Government	U.S. Department of Health and Human Services, National Institutes of Health, National Institute of General Medical Sciences	greguricksk@mail.nih.gov								U.S. Department of Health and Human Services	U.S. Department of Health and Human Services, National Institutes of Health, National Institute of General Medical Sciences, Division of Biophysics, Biomedical Technology, and Computational Biosciences		96
21	Division of Healthcare Quality Promotion	Centers for Disease Control and Prevention		Division of Healthcare Quality Promotion			CDC/DHQP	1600 Clifton Road	Atlanta	Georgia	30329	United States			https://www.cdc.gov/ncezid/dhqp/index.html	Division	Centers for Disease Control and Prevention									Centers for Disease Control and Prevention	Centers for Disease Control and Prevention, Division of Healthcare Quality Promotion		97
69	Division of Public Health Laboratory Sciences	Hong Kong University	School of Public Health	Division of Public Health Laboratory Sciences				G/F, Patrick Manson Building (North Wing), 7 Sassoon Road	Pokfulam			Hong Kong			https://sph.hku.hk/en/about-us/divisioncentreunit/2015-02-02-03-27-04/the-division-of-public-health-laboratory-sciences	Division	Hong Kong University, School of Public Health										Hong Kong University, School of Public Health, Division of Public Health Laboratory Sciences		98
178	Drake Lab	University of Georgia	Odum School of Ecology		Drake Lab			140 E. Green St., Odum School of Ecology	Athens	Georgia	30602-2202	United States			https://daphnia.ecology.uga.edu/drakelab/	Lab	University of Georgia, Odum School of Ecology	jdrake@uga.edu	@drake_lab							Odum School of Ecology at the University of Georgia 	University of Georgia, Odum School of Ecology, Drake Lab	John Drake	99
33	Duke Human Vaccine Institute	Duke University	Duke Human Vaccine Institute													Institute	Duke University										Duke University, Duke Human Vaccine Institute		100
32	Duke University															University											Duke University		101
97	Ebihara Lab	Mayo Clinic		Mayo Clinic Research	Ebihara Lab			200 First St. SW	Rochester	Minnesota 	55905	United States		+1 507 284 2511	https://www.mayo.edu/research/faculty/ebihara-hideki-ph-d/bio-20338400	Lab	Mayo Clinic, Mayo Clinic Research									Mayo Clinic	Mayo Clinic, Mayo Clinic Research, Ebihara Lab		102
35	Emory University							201 Dowman Drive	Atlanta	Georgia	30322	United States		+1 404 727 6123	http://www.emory.edu/home/index.html	University		college@emory.edu	@EmoryUniversity			https://www.linkedin.com/company/emory-university					Emory University		103
29	Environmental Health Sciences	Columbia University	Mailman School of Public Health	Environmental Health Sciences				Mailman School of Public Health, Columbia University, 722 West 168th St.	New York	New York	10032	United States		+1 212 305 3464	https://www.mailman.columbia.edu/academics/departments/environmental-health-sciences-ehs	Department	Columbia University, Mailman School of Public Health									Mailman School of Public Health at Columbia University	Columbia University, Mailman School of Public Health, Environmental Health Sciences	Jeffrey Shaman	104
20	Epidemic Modeling Unit	Centers for Disease Control and Prevention 		Epidemic Modelling Unit												Department	Centers for Disease Control and Prevention , Epidemic Modelling Unit									Centers for Disease Control and Prevention 	Centers for Disease Control and Prevention , Epidemic Modelling Unit, Epidemic Modeling Unit		105
170	Epidemiology and Biostatistics	University of Georgia	College of Public Health	Epidemiology and Biostatistics				105 B.S. Miller Hall, Health Sciences Campus, 101 Buck Road	Athens	Georgia	30602	United States		+1 706 583 8202	https://publichealth.uga.edu/departments/epidemiology-biostatistics/	Department	University of Georgia, College of Public Health	jcordero@uga.edu								University of Georgia, College of Public Health	University of Georgia, College of Public Health, Epidemiology and Biostatistics	Steven Bellan	106
183	Epidemiology and Biostatistics	University of Illinois Chicago		Epidemiology and Biostatistics			epi-bio	SPHPI 1603 W. Taylor Street, (MC 923)	Chicago	Illinois	60612-4394	United States		+1 312 996 6620	http://publichealth.uic.edu/epi-bio	Department	University of Illinois Chicago									University of Illinois Chicago	University of Illinois Chicago, Epidemiology and Biostatistics	Basmattee Boodram	107
247	Epidemiology of Microbial Diseases	Yale University	School of Public Health	Epidemiology of Microbial Diseases				60 College Street, P.O. Box 208034	New Haven	Conneticut	06520	United States		+1 203 785 2912	https://publichealth.yale.edu/emd/	Department	Yale University, School of Public Health									Yale School of Public Health	Yale University, School of Public Health, Epidemiology of Microbial Diseases	Daniel Weinberger	108
192	Epureanu Research Group	University of Michigan		Mechanical Engineering	Epureanu Research Group			Department of Mechanical Engineering, University of Michigan, 3650 GGBrown Building, 2350 Hayward Street	Ann Arbor	Michigan	48109	United States		+1 734 647 6391	http://www-personal.umich.edu/~epureanu/	Lab	University of Michigan, Mechanical Engineering	epureanu@umich.edu								Department of Mechanical Engineering at the University of Michigan	University of Michigan, Mechanical Engineering, Epureanu Research Group	Bogdan Epureanu	109
128	Fogarty International Center	U.S. Department of Health and Human Services	National Institutes of Health													Center	U.S. Department of Health and Human Services, National Institutes of Health										U.S. Department of Health and Human Services, National Institutes of Health, Fogarty International Center		110
45	Fred Hutchinson Cancer Research Center						Fred Hutch	1100 Fairview Ave. N., P.O. Box 19024	Seattle	Washington	98109-1024	United States		+1 206 667 5000	https://www.fredhutch.org/en.html	University			@fredhutch	@meyerslab							Fred Hutchinson Cancer Research Center		111
224	General Internal Medicine	University of Pittsburgh	School of Medicine	Department of Medicine	General Internal Medicine			UPMC Montefiore Hospital, Suite W933	Pittsburgh	Pennsylvania	15213	United States		+1 412 692 4821	https://dom.pitt.edu/dgim/	Division	University of Pittsburgh, School of Medicine, Department of Medicine		@PittGIM							Department of Medicine in School of Medicine at University of Pittsburgh	University of Pittsburgh, School of Medicine, Department of Medicine, General Internal Medicine	Kenneth J. Smith	112
49	George Washington University							1918 F Street, NW	Washington	District of Columbia	20052	United States		+1 202 994 1000	https://www.gwu.edu/	University			@GWTweets								George Washington University		113
55	Georgetown University 							37th and O Streets, NW	Washington	District of Columbia	20057	United States		+1 202 687 0100	https://www.georgetown.edu/	University			@georgetown	@TheFerrariLab		https://www.linkedin.com/school/georgetown-university/					Georgetown University 		114
129	Global Health Program	U.S. Department of Health and Human Services	National Institutes of Health	Fogarty International Center												Program	U.S. Department of Health and Human Services, National Institutes of Health, Fogarty International Center										U.S. Department of Health and Human Services, National Institutes of Health, Fogarty International Center, Global Health Program		115
40	Graduate Division of Biological and Biomedical Sciences	Emory University		Graduate Division of Biological and Biomedical Sciences				Graduate Division of Biological and Biomedical Sciences, Laney Graduate School, Emory University, 1462 Clifton Road, Suite 314	Atlanta	Georgia	30322	United States		+1 404 727 2545	http://biomed.emory.edu/PROGRAM_SITES/GMB/index.html	Department	Emory University	acorbe2@emory.edu								Graduate Division of Biological and Biomedical Sciences	Emory University, Graduate Division of Biological and Biomedical Sciences		116
216	Graduate School of Public Health	University of Pittsburgh	Graduate School of Public Health					130 De Soto Street	Pittsburgh	Pennsylvania	15261	United States		+1 412 624 3001	https://www.publichealth.pitt.edu/	School	University of Pittsburgh		@PittPubHealth			https://www.linkedin.com/school/pittpublichealth/				University of Pittsburgh	University of Pittsburgh, Graduate School of Public Health	Don Burke, Sharon Crow, Richard Zimmerman	117
115	Grenfell Lab	Princeton University		Department of Ecology & Evolutionary Biology				Woodrow Wilson School, Robertson Hall	Princeton	New Jersey	08544	United States		+1 609 258 0308	http://grenfelllab.princeton.edu/	Lab 	Princeton University, Department of Ecology & Evolutionary Biology	bgrenfell@princeton.edu									Princeton University, Department of Ecology & Evolutionary Biology, Grenfell Lab		118
47	Halloran Group	Fred Hutchinson Cancer Research Center		Halloran Group								United States		+1 206 667 7754	https://research.fhcrc.org/halloran/en.html	Group	Fred Hutchinson Cancer Research Center	rebecca@fredhutch.org								Fred Hutchinson Cancer Research Center	Fred Hutchinson Cancer Research Center, Halloran Group	M. Halloran	119
59	Harvard Medical School	Harvard University	Harvard Medical School					25 Shattuck Street	Boston	Massachusetts	02215	United States		+1 617 432 1000	https://hms.harvard.edu/	School	Harvard University		@harvardmed			https://www.linkedin.com/school/harvard-medical-school/				Harvard University	Harvard University, Harvard Medical School	Rui Wang	120
61	Harvard T.H. Chan School of Public Health	Harvard University	Harvard T.H. Chan School of Public Health					677 Hungtington Avenue	Boston	Massachusetts	02115	United States		+1 617 495 1000	https://www.hsph.harvard.edu/	School	Harvard University		@HarvardChanSPH			https://www.linkedin.com/school/harvardpublichealth/				Harvard University	Harvard University, Harvard T.H. Chan School of Public Health	Caroline Buckee	121
58	Harvard University							Massachusetts Hall	Cambridge	Massachusetts	02138	United States		+1 617 495 1000	https://www.harvard.edu/	University			@harvard			https://www.linkedin.com/school/harvard-university/					Harvard University		122
93	Health Sciences Division	Loyola University Chicago	Health Sciences Division					2160 South First Avenue, Division of Hepatology, Building 106 - Room 1540	Maywood	Illinois	60153	United States			https://hsd.luc.edu/	Division	Loyola University Chicago		@LoyolaHSD							Loyola University Chicago	Loyola University Chicago, Health Sciences Division	Harel Dahari	123
130	Household Air Pollution Investigation Network 	U.S. Department of Health and Human Services	National Institutes of Health	Fogarty International Center	Global Health Program		HAPIN								https://commonfund.nih.gov/globalhealth/hapinresources	Network	U.S. Department of Health and Human Services, National Institutes of Health, Fogarty International Center, Global Health Program									National Institutes of Health/Fogarty International Center	U.S. Department of Health and Human Services, National Institutes of Health, Fogarty International Center, Global Health Program, Household Air Pollution Investigation Network 		124
125	Hyman Lab	Tulane University		Department of Mathematics	Hyman Lab			Gibson Hall 401-D, 6823 St Charles Ave	New Orleans	Louisianna	70118	United States		+1 504 862 3433	https://www2.tulane.edu/sse/math/faculty/mac-hyman.cfm	Lab	Tulane University, Department of Mathematics	mhyman@tulane.edu					Bill Hogan	hoganwr@ufl.edu	2019-08-31	Tulane University	Tulane University, Department of Mathematics, Hyman Lab		125
70	Imperial College London							South Kensington Campus	London		SW7 2AZ	United Kingdom		+44 (0)20 7589 5111	https://www.imperial.ac.uk/	University			@imperialcollege			https://www.linkedin.com/school/imperial-college-london/					Imperial College London	Niel Ferguson	126
82	Infectious Disease Dynamics Group	Johns Hopkins University	Bloomberg School of Public Health	Infectious Disease Dynamics Group				c/o Justin Lessler, Johns Hopkins Bloomberg School of Public Health, 615 North Wolfe Street, E6545	Baltimore	Maryland	21205	United States		+1 410 955 3551	http://www.iddynamics.jhsph.edu/	Group	Johns Hopkins University, Bloomberg School of Public Health	iddynam@jhu.edu	@JHIDDynamics							Johns Hopkins Bloomberg School of Public Health	Johns Hopkins University, Bloomberg School of Public Health, Infectious Disease Dynamics Group	Justin Lessler	127
167	Infectious Disease Dynamics Group	University of Florida		Infectious Disease Dynamics Group				Infectious Disease Dynamics Group, c/o Derek Cummings,University of Florida, Department of Biology, P.O. Box 118525	Gainesville	Florida	32611	United States		+1 352 273 6555	http://www.ufiddynamics.org/	Group	University of Florida	info@ufiddynamics.org	@uf_idd							University of Florida	University of Florida, Infectious Disease Dynamics Group		128
73	Institut Pasteur						IP	25-28 Rue du Dr Roux	Paris		75015	France		+01 45 68 80 80	https://www.pasteur.fr/en	University			@institutpasteur			https://www.linkedin.com/company/institut-pasteur/					Institut Pasteur		129
76	Institute for Disease Modelling						IDM	Institute for Disease Modeling, 3150 139th Ave SE	Bellevue	WA	98005	United States			http://idmod.org/home	Institute		research@idmod.org	@IDMOD_ORG							Institute for Disease Modelling	Institute for Disease Modelling		130
122	Institute for Genomics and Evolutionary Medicine	Temple University	Institute for Genomics and Evolutionary Medicine				iGEM	iGEM (035-04), Temple University, SERC Building 1925 N. 12 Street	Philadelphia	Pennsylvania	19122-1801	United States		+1 215 204 1647	http://igem.temple.edu/	Institute	Temple University	s.kumar@temple.edu	@myigem							Temple University	Temple University, Institute for Genomics and Evolutionary Medicine	Sergei Pond	131
77	Istanbul Medeniyet University															University											Istanbul Medeniyet University		132
13	Ivanovic Lab	Brandeis University			Ivanovic Lab			Rosenstiel Basic Medical, Sciences Research Center, 4th Floor, 415 South St.	Waltham	Massachusetts	02453	United States		+1 781 736 2439	https://www.tijanaivanovic.net/	Lab	Brandeis University	ivanovic@brandeis.edu								Brandeis University	Brandeis University, Ivanovic Lab	Tijana Ivanovic	133
66	John A. Paulson School of Engineering and Applied Sciences	Harvard University	John A. Paulson School of Engineering and Applied Sciences				SEAS	Pierce Hall, 29 Oxford Street	Cambridge	Massachusetts	02138	United States			https://www.seas.harvard.edu/	School	Harvard University		@hseas			https://www.linkedin.com/school/harvard-school-of-engineering-and-applied-sciences/				Harvard University	Harvard University, John A. Paulson School of Engineering and Applied Sciences	Mauricio Santillana	134
79	Johns Hopkins University							3400 N. Charles Street	Baltimore	Maryland	21205	United States		+1 410 516 8000	https://www.jhu.edu/	University			@JohnsHopkins			https://www.linkedin.com/school/johns-hopkins-university/					Johns Hopkins University		135
190	King Lab	University of Michigan		Department of Ecology and Evolutionary Biology	King Lab			3050 Biological Science Building, 1105 North University Avenue	Ann Arbor	Michigan	48109	United States		+1 734 936 8274 	https://kinglab.eeb.lsa.umich.edu/lab	Lab	University of Michigan, Department of Ecology and Evolutionary Biology	kingaa@umich.edu									University of Michigan, Department of Ecology and Evolutionary Biology, King Lab		136
195	Koopman Lab	University of Michigan	School of Public Health	Department of Epidemiology	Koopman Lab			M5523 SPH II, 1415 Washington Heights	Ann Arbor	Michigan	48109	United States		+1 734 763 5629	https://sites.google.com/a/umich.edu/koopman-lab/	Lab	University of Michigan, School of Public Health, Department of Epidemiology									University of Michigan	University of Michigan, School of Public Health, Department of Epidemiology, Koopman Lab		137
181	Laboratory for Ecological, Epidemiological, and Evolutionary Forecasting	University of Idaho	Department of Biological Sciences		Laboratory for Ecological, Epidemiological, and Evolutionary Forecasting			Department of Biological Sciences, University of Idaho	Moscow	Idaho	83844	United States		+1 208 885 4096	https://www.leeef.org/	Lab	University of Idaho, Department of Biological Sciences	snuismer@uidaho.edu	@NuismerScott							Department of Biological Sciences at University of Idaho	University of Idaho, Department of Biological Sciences, Laboratory for Ecological, Epidemiological, and Evolutionary Forecasting	Scott Nuismer	138
102	Lanzas Lab	North Carolina State University	College of Veterinary Medicine		Lanzas Lab				Raleigh	North Carolina	27607	United States		+1 919 513 6202	http://www.lanzaslab.org/	Lab	North Carolina State University, College of Veterinary Medicine									College of Veterinary Medicine at NC State University	North Carolina State University, College of Veterinary Medicine, Lanzas Lab	Cristina Lanzas	139
83	Leiden University Medical Center															Hospital											Leiden University Medical Center		140
84	London School of Hygeine & Tropical Medicine						LSHTM	Keppel Street	London		WC1E 7HT	United Kingdom		44 (0) 20 7636 8636	https://www.lshtm.ac.uk/	University			‎@LSHTM	@Ahlgren_lab		https://www.linkedin.com/school/london-school-of-hygiene-&-tropical-medicine-cp/					London School of Hygeine & Tropical Medicine		141
87	Los Alamos National Laboratory						LANL	P.O. Box 1663	Los Alamos	New Mexico	87545	United States		+1 505 667 5061	https://www.lanl.gov/	Lab			@LosAlamosNatLab			https://www.linkedin.com/company/los-alamos-national-laboratory/					Los Alamos National Laboratory	Sara Del Valle	142
88	Louisiana State University						LSU		Baton Rouge	Lousiana	70803	United States			https://www.lsu.edu	University			@lsu			https://www.linkedin.com/school/louisiana-state-university/					Louisiana State University		143
91	Loyola University Chicago							1032 W. Sheridan Rd	Chicago	Illinois	60660	United States		+1 773 274 3000	https://www.luc.edu/	University			@LoyolaChicago			https://www.linkedin.com/in/loyola-chicago-57bb0945/					Loyola University Chicago		144
6	Machine Intelligence Lab	Boston Children's Hospital		Computational Health Informatics Program	Machine Intelligence Lab			1 Autumn Street, Office 451	Boston	Massachusetts	02115	United States			https://scholar.harvard.edu/msantillana	Lab	Boston Children's Hospital, Computational Health Informatics Program	msantill@g.harvard.edu								Computational Health Informatics Program	Boston Children's Hospital, Computational Health Informatics Program, Machine Intelligence Lab	Mauricio Santillana	145
26	Mailman School of Public Health	Columbia University	Mailman School of Public Health					Columbia University 722 West 168th St.	New York	New York	10032	United States		+1 212 342 5127	https://www.mailman.columbia.edu/	School	Columbia University	ph-admit@columbia.edu	@columbiamsph			https://www.linkedin.com/school/msph/				Columbia University	Columbia University, Mailman School of Public Health	Jeffrey Shaman	146
211	Margolis Lab	University of North Carolina at Chapel Hill	School of Medicine	Department of Microbiology and Immunology	Margolis Lab			Margolis Lab, 2049G Genetic Medicine Building, 120 Mason Farm Rd #7264	Chapel Hill	North Carolina	27514	United States		+1 919 966 6389	https://www.med.unc.edu/microimm/margolislab/	Lab	University of North Carolina at Chapel Hill, School of Medicine, Department of Microbiology and Immunology									University of North Carolina Chapel Hill School of Medicine	University of North Carolina at Chapel Hill, School of Medicine, Department of Microbiology and Immunology, Margolis Lab		147
75	Mathematical Modelling Of Infectious Diseases Laboratory	Institut Pasteur		Department of Global Health	Mathematical Modelling Of Infectious Diseases Laboratory		MMID	Simon Cauchemez Unité de Modélisation Mathématique des Maladies Infectieuses Institut Pasteur 25-28 Rue du Docteur Roux	Paris		75015	France			https://research.pasteur.fr/en/team/mathematical-modelling-of-infectious-diseases/	Lab	Institut Pasteur, Department of Global Health	simon.cauchemez@pasteur.fr								Institut Pasteur	Institut Pasteur, Department of Global Health, Mathematical Modelling Of Infectious Diseases Laboratory		148
95	Mayo Clinic															Other											Mayo Clinic		149
96	Mayo Clinic Research	Mayo Clinic														Other	Mayo Clinic										Mayo Clinic, Mayo Clinic Research		150
191	Mechanical Engineering	University of Michigan		Mechanical Engineering				G.G. Brown Laboratory, 2350 Hayward	Ann Arbor	Michigan	48109	United States		+1 734 764 2694	https://me.engin.umich.edu/	Department	University of Michigan					https://www.linkedin.com/groups/90070/				University of Michigan	University of Michigan, Mechanical Engineering	Bogdan Epureanu	151
160	Medical Scientist Training Program	University of Chicago	Pritzer School of Medicine	Medical Scientist Training Program				Pritzker School of Medicine, Biological Sciences Learning Center, 924 E. 57th Street, Suite 104	Chicago	Illinois	60637	United States		+1 773 702 1937	https://pritzker.uchicago.edu/mstp-students	Program	University of Chicago, Pritzer School of Medicine									University of Chicago Pritzer School of Medicine	University of Chicago, Pritzer School of Medicine, Medical Scientist Training Program		152
231	Meyers Lab	University of Texas at Austin	College of Natural Sciences		Meyers Lab			The University of Texas at Austin, Department of Integrative Biology, 1 University Station C0930	Austin	Texas	78712	United States		+1 512 471 4950	http://www.bio.utexas.edu/research/meyers/	Lab	University of Texas at Austin, College of Natural Sciences	laurenmeyers@austin.utexas.edu	@meyerslab		meyerslab					College of Natural Sciences at University of Texas at Austin	University of Texas at Austin, College of Natural Sciences, Meyers Lab	Lauren Meyers	153
50	Milken Institue School of Public Health	George Washington University	Milken Institue School of Public Health					950 New Hampshire Ave, NW, 7th Floor	Washington	District of Columbia	20052	United States		+1 202 994 2160	https://publichealth.gwu.edu/	School	George Washington University		@GWPublicHealth							George Washington University	George Washington University, Milken Institue School of Public Health	Christopher Mores	154
86	Modelling and Economic Evaluation of Vaccines	London School of Hygeine & Tropical Medicine		Modelling and Economic Evaluation of Vaccines				London School of Hygeine & Tropical Medicine, Keppel Street	London		WC1E 7HT	United Kingdom			http://meev.lshtm.ac.uk/	Group	London School of Hygeine & Tropical Medicine									London School of Hygeine & Tropical Medicine	London School of Hygeine & Tropical Medicine, Modelling and Economic Evaluation of Vaccines	Kaja Abbas	155
131	Multinational Influenza Seasonal Mortality Study	U.S. Department of Health and Human Services	National Institutes of Health	Fogarty International Center			NIH/FIC MISMS					United States		+1 301 496 0815	http://misms.net/	Center	U.S. Department of Health and Human Services, National Institutes of Health, Fogarty International Center	ficmisms@mail.nih.gov								National Institutes of Health/Fogarty International Center	U.S. Department of Health and Human Services, National Institutes of Health, Fogarty International Center, Multinational Influenza Seasonal Mortality Study		156
132	National Institute of Allergy and Infectious Diseases	U.S. Department of Health and Human Services	National Institutes of Health				NIAID	NIAID Office of Communications and Government Relations, 5601 Fishers Lane, MSC 9806	Bethesda	Maryland	20892	United States		+1 866 284 4107	https://www.niaid.nih.gov/	Institute	U.S. Department of Health and Human Services, National Institutes of Health	ocpostoffice@niaid.nih.gov	@NIAIDNews			https://www.linkedin.com/company/national-institute-of-allergy-and-infectious-diseases-niaid/				National Institutes of Health	U.S. Department of Health and Human Services, National Institutes of Health, National Institute of Allergy and Infectious Diseases	Misrak Gezmu	157
134	National Institute of General Medical Sciences	U.S. Department of Health and Human Services	National Institutes of Health													Institute	U.S. Department of Health and Human Services, National Institutes of Health										U.S. Department of Health and Human Services, National Institutes of Health, National Institute of General Medical Sciences		158
127	National Institutes of Health	U.S. Department of Health and Human Services					NIH	9000 Rockville Pike	Bethesda	Maryland	20892	United States		+1 301 496 4000	https://www.nih.gov/	Institute	U.S. Department of Health and Human Services		@NIH								U.S. Department of Health and Human Services, National Institutes of Health		159
104	Network Science Institute	Northeastern University					NetSI	360 Huntington Ave	Boston	Massachusetts	0 2115	United States		+1 617 373 2000	https://www.networkscienceinstitute.org/	Institute	Northeastern University	n.charles@northeastern.edu 	@NUnetsi								Northeastern University, Network Science Institute		160
100	North Carolina State University								Raleigh	North Carolina	27695	United States		+1 919 515 2011	https://www.ncsu.edu/	University			@ncstate			https://www.linkedin.com/school/north-carolina-state-university/					North Carolina State University		161
172	Odum School of Ecology	University of Georgia	Odum School of Ecology					140 E. Green St.	Athens	Georgia	30602	United States		+1 706 542 2968	https://www.ecology.uga.edu/	School	University of Georgia		@ugaecology							University of Georgia 	University of Georgia, Odum School of Ecology	John Drake, Andrew Park	162
137	Office of Assistant Secretary for Preparedness and Response (ASPR)	U.S. Department of Health and Human Services														Other	U.S. Department of Health and Human Services										U.S. Department of Health and Human Services, Office of Assistant Secretary for Preparedness and Response (ASPR)		163
107	OUCRU/IRD 															Other											OUCRU/IRD 		164
176	Park Lab	University of Georgia	Odum School of Ecology, College of Veterinary Medicine	Department of Infectious Disease Epidemiology	Park Lab				Athens	Georgia	30602	United States			http://parklab.ecology.uga.edu/	Lab	University of Georgia, Odum School of Ecology, College of Veterinary Medicine, Department of Infectious Disease Epidemiology									Odum School of Ecology & Dept. Infectious Diseases, College of Veterinary Medicine, University of Georgia	University of Georgia, Odum School of Ecology, College of Veterinary Medicine, Department of Infectious Disease Epidemiology, Park Lab	Andrew Park	165
108	Penn State University						PSU	201 Old Main	University Park	Pennsylvania	16802	United States		+1 814 865 4700	https://www.psu.edu/	University			@penn_state			https://www.linkedin.com/school/penn-state-university/					Penn State University		166
106	Perkins Lab	Notre Dame University			Perkins Lab			347 Galvin Life Science Center, University of Notre Dame	Notre Dame	Indiana	46556	United States		+1 574 631 7179	http://perkinslab.weebly.com/	Lab	Notre Dame University	taperkins@nd.edu									Notre Dame University, Perkins Lab		167
159	Pritzer School of Medicine	University of Chicago														School	University of Chicago										University of Chicago, Pritzer School of Medicine		168
220	Public Health Dynamics Laboratory	University of Pittsburgh	Graduate School of Public Health		Public Health Dynamics Laboratory			A740 Crabtree Hall, 130 De Soto Street	Pittsburgh	Pennsylvania	15261	United States			https://www.phdl.pitt.edu/	Lab	University of Pittsburgh, Graduate School of Public Health									University of Pittsburgh Graduate School of Public Health	University of Pittsburgh, Graduate School of Public Health, Public Health Dynamics Laboratory	Sharon Crow, Wilbert Van Panhuis	169
227	Quantitative and Computational Biology	University of Southern California		Department of Biological Sciences	Quantitative and Computational Biology			Molecular and Computational Biology, University of Southern California, Allan Hancock Foundation Building	Los Angeles	California	90089-2910	United States		+1 213 740 5772	https://dornsife.usc.edu/qcb/	Research Section	University of Southern California, Department of Biological Sciences	oginskis@usc.edu								Department of Biological Sciences at University of Southern California	University of Southern California, Department of Biological Sciences, Quantitative and Computational Biology	Fengzhu Sun	170
